id,name,post_code,city,street,us_code
us_1425,Drugi Urząd Skarbowy w Radomiu,26-600,Radom,Toruńska 3,1425
us_1426,Urząd Skarbowy w Siedlcach,08-110,Siedlce,Józefa Piłsudskiego 68,1426
us_1427,Urząd Skarbowy w Sierpcu,09-200,Sierpc,Piastowska 48,1427
us_1428,Urząd Skarbowy w Sochaczewie,96-500,Sochaczew,Władysława Grabskiego 4,1428
us_1429,Urząd Skarbowy w Sokołowie Podlaskim,08-300,Sokołów Podlaski,Węgrowska 5,1429
us_1430,Urząd Skarbowy w Szydłowcu,26-500,Szydłowiec,Widok 6,1430
us_1431,Urząd Skarbowy Warszawa - Bemowo,02-325,Warszawa,Białobrzeska 53a,1431
us_1432,Urząd Skarbowy Warszawa - Bielany,01-844,Warszawa,Skalbmierska 5,1432
us_1433,Urząd Skarbowy Warszawa - Mokotów,02-676,Warszawa,Postępu 16A,1433
us_1434,Urząd Skarbowy Warszawa - Praga,03-719,Warszawa,Jagiellońska 15,1434
us_1435,Pierwszy Urząd Skarbowy Warszawa - Śródmieście,02-013,Warszawa,Williama Lindleya 14,1435
us_1436,Drugi Urząd Skarbowy Warszawa - Śródmieście,03-719,Warszawa,Jagiellońska 15,1436
us_1437,Urząd Skarbowy Warszawa - Targówek,03-482,Warszawa,Dąbrowszczaków 14,1437
us_1438,Urząd Skarbowy Warszawa - Ursynów,02-677,Warszawa,Wynalazek 3,1438
us_1439,Urząd Skarbowy Warszawa - Wawer,04-379,Warszawa,Ludwika Mycielskiego 21,1439
us_1440,Urząd Skarbowy Warszawa - Wola,01-381,Warszawa,Powstańców Śląskich 2D,1440
us_1441,Urząd Skarbowy w Węgrowie,07-100,Węgrów,Kościelna 4,1441
us_1442,Urząd Skarbowy w Wołominie ,05-200,Wołomin,Przejazd 2,1442
us_1443,Urząd Skarbowy w Wyszkowie, 07-200,Wyszków,Gen. Józefa Sowińskiego 82,1443
us_1444,Urząd Skarbowy w Zwoleniu,26-700,Zwoleń,Wojska Polskiego 39,1444
us_1445,Urząd Skarbowy w Żurominie,09-300,Żuromin,Plac Józefa Piłsudskiego 4,1445
us_1446,Urząd Skarbowy w Żyrardowie,96-300,Żyrardów,1 Maja 49a,1446
us_1447,Urząd Skarbowy w Lipsku,27-300,Lipsko,Solecka 88,1447
us_1448,Urząd Skarbowy w Przysusze,26-400,Przysucha,Szkolna 7,1448
us_1449,Trzeci Urząd Skarbowy Warszawa - Śródmieście,02-013,Warszawa,Williama Lindleya 14,1449
us_1462,Biuro Krajowej Informacji Podatkowej w Płocku,09-402,Płock,1 Maja 10,1462
us_1471,Pierwszy Mazowiecki Urząd Skarbowy,01-513,Warszawa,Alojzego Felińskiego 2B,1471
us_1472,Drugi Mazowiecki Urząd Skarbowy,00-193,Warszawa,Stawki 2,1472
us_1473,Trzeci Mazowiecki Urząd Skarbowy,26-610,Radom,Andrzeja Struga 26/28,1473
us_1601,Izba Skarbowa w Opolu,45-057,Opole,Ozimska 19,1601
us_1613,Urząd Skarbowy w Krapkowicach,47-300,Krapkowice,Opolska 96 A,1613
us_1671,Opolski Urząd Skarbowy w Opolu,45-331,Opole,Tadeusza Rejtana 3A,1671
us_1801,Izba Skarbowa w Rzeszowie,35-959,Rzeszów,Geodetów 1,1801
us_1802,Urząd Skarbowy w Brzozowie,36-200,Brzozów,Kazimierzowska 1,1802
us_1803,Urząd Skarbowy w Dębicy,39-200,Dębica,Kolejowa 21,1803
us_1804,Urząd Skarbowy w Jarosławiu,37-500,Jarosław,Przemysłowa 2a,1804
us_1805,Urząd Skarbowy w Jaśle,38-200,Jasło,Stanisława Staszica 3,1805
us_1806,Urząd Skarbowy w Kolbuszowej,36-100,Kolbuszowa,Tadeusza Kościuszki 20,1806
us_1807,Urząd Skarbowy w Krośnie,38-400,Krosno,Składowa 5,1807
us_1808,Urząd Skarbowy w Lesku,38-600,Lesko,Rynek 1,1808
us_1809,Urząd Skarbowy w Leżajsku,37-300,Leżajsk,Plac Targowy 3,1809
us_1810,Urząd Skarbowy w Lubaczowie,37-600,Lubaczów,Jana III Sobieskiego 6,1810
us_1811,Urząd Skarbowy w Łańcucie,37-100,Łańcut,Józefa Piłsudskiego 11,1811
us_1812,Urząd Skarbowy w Mielcu,39-300,Mielec,Stefana Żeromskiego 13,1812
us_1813,Urząd Skarbowy w Przemyślu,37-700,Przemyśl,Lwowska 9A,1813
us_1814,Urząd Skarbowy w Przeworsku,37-200,Przeworsk,Tysiąclecia 1,1814
us_1815,Urząd Skarbowy w Ropczycach,39-100,Ropczyce,Św. Barbary 12,1815
us_1816,Pierwszy Urząd Skarbowy w Rzeszowie,35-309,Rzeszów,Podwisłocze 42,1816
us_1817,Urząd Skarbowy w Sanoku,38-500,Sanok,Henryka Sienkiewicza 1,1817
us_1818,Urząd Skarbowy w Stalowej Woli,37-450,Stalowa Wola,Metalowców 6,1818
us_1819,Urząd Skarbowy w Strzyżowie,38-100,Strzyżów,Daszyńskiego 6,1819
us_1820,Urząd Skarbowy w Tarnobrzegu,39-400,Tarnobrzeg,Stanisława Wyspiańskiego 12,1820
us_1821,Urząd Skarbowy w Ustrzykach Dolnych,38-700,Ustrzyki Dolne,Mikołaja Kopernika 1,1821
us_1822,Drugi Urząd Skarbowy w Rzeszowie,35-234,Rzeszów,Lucjana Siemieńskiego 18,1822
us_1823,Urząd Skarbowy w Nisku,37-400,Nisko,3 Maja 32 B,1823
us_1871,Podkarpacki Urząd Skarbowy w Rzeszowie,35-959,Rzeszów,Geodetów 1,1871
us_2001,Izba Skarbowa w Białymstoku,15-026,Białystok,Słonimska 1,2001
us_2015,Urząd Skarbowy w Hajnówce,17-200,Hajnówka,3 Maja 34,2015
us_2071,Podlaski Urząd Skarbowy,15-404 ,Białystok,Młynowa 21A,2071
us_2201,Izba Skarbowa w Gdańsku,80-831,Gdańsk,Długa 75/76,2201
us_2202,Urząd Skarbowy w Bytowie,77-100,Bytów,1 Maja 16,2202
us_2203,Urząd Skarbowy w Chojnicach,89-600,Chojnice,Młyńska 22,2203
us_2204,Urząd Skarbowy w Człuchowie,77-300,Człuchów,Jerzego z Dąbrowy 5 E,2204
us_2205,Pierwszy Urząd Skarbowy w Gdańsku,80-822,Gdańsk,Rzeźnicka 54/56,2205
us_2206,Drugi Urząd Skarbowy w Gdańsku,80-391,Gdańsk,Kołobrzeska 43,2206
us_2207,Trzeci Urząd Skarbowy w Gdańsku,80-560,Gdańsk,Żaglowa 2,2207
us_2208,Pierwszy Urząd Skarbowy w Gdyni,81-353,Gdynia,Władysława IV 2/4,2208
us_2209,Drugi Urząd Skarbowy w Gdyni,81-061,Gdynia,Hutnicza 25,2209
us_2210,Urząd Skarbowy w Kartuzach,83-300,Kartuzy,Kościerska 13,2210
us_2211,Urząd Skarbowy w Kościerzynie,83-400,Kościerzyna,Staszica 6,2211
us_2214,Urząd Skarbowy w Malborku,82-200,Malbork,Mikołaja Kopernika 10,2214
us_2215,Urząd Skarbowy w Pucku,84-100,Puck,Kmdr. E. Szystowskiego 18,2215
us_2216,Urząd Skarbowy w Słupsku,76-200,Słupsk,Szczecińska 59,2216
us_2217,Urząd Skarbowy w Sopocie,81-808,Sopot,23 Marca 9/11,2217
us_2218,Urząd Skarbowy w Starogardzie Gdańskim,83-200,Starogard Gdański,Lubichowska 4,2218
us_2219,Urząd Skarbowy w Tczewie,83-100,Tczew,Gdańska 33,2219
us_2220,Urząd Skarbowy w Wejherowie,84-200,Wejherowo,Jana III Sobieskiego 346,2220
us_2221,Urząd Skarbowy w Pruszczu Gdańskim,83-000,Pruszcz Gdański,Ignacego Łukasiewicza 2,2221
us_2271,Pomorski Urząd Skarbowy w Gdańsku,80-749,Gdańsk,Żytnia 4/6,2271
us_2401,Izba Skarbowa w Katowicach,40-022,Katowice,Ks. Konstantego Damrota 25,2401
us_2461,Biuro Krajowej Informacji Podatkowej w Bielsku-Białej,43-300,Bielsko-Biała,Romualda Traugutta 2a,2461
us_2463,Biuro Krajowej Informacji Podatkowej w Będzinie,42-500,Będzin,I Armii Wojska Polskiego 1,2463
us_2471,Pierwszy Śląski Urząd Skarbowy w Sosnowcu,41-219,Sosnowiec,Braci Mieroszewskich 97,2471
us_2472,Drugi Śląski Urząd Skarbowy w Bielsku-Białej,43-300,Bielsko-Biała,Warszawska 45,2472
us_2601,Izba Skarbowa w Kielcach,25-561,Kielce,Wincentego Witosa 78b,2601
us_2602,Urząd Skarbowy w Busku-Zdroju,28-100,Busko-Zdrój,12 Stycznia 17,2602
us_2603,Urząd Skarbowy w Jędrzejowie,28-300,Jędrzejów,11 Listopada 33,2603
us_2604,Pierwszy Urząd Skarbowy w Kielcach ,25-661,Kielce,Wróbla 17,2604
us_2605,Drugi Urząd Skarbowy w Kielcach,25-647,Kielce,Częstochowska 20,2605
us_2606,Urząd Skarbowy w Końskich,26-200,Końskie,Marszałka Piłsudskiego 156b,2606
us_2607,Urząd Skarbowy w Opatowie,27-500,Opatów,Jana Kilińskiego 9,2607
us_2608,Urząd Skarbowy w Ostrowcu Świętokrzyskim,27-400,Ostrowiec Świętokrzyski,Polna 11,2608
us_2609,Urząd Skarbowy w Pińczowie,28-400,Pińczów,Grodziskowa 1,2609
us_2610,Urząd Skarbowy w Sandomierzu,27-600,Sandomierz,Żydowska 1,2610
us_2611,Urząd Skarbowy w Skarżysku-Kamiennej,26-110,Skarżysko-Kamienna,1 Maja 56,2611
us_2612,Urząd Skarbowy w Starachowicach,27-200,Starachowice,Składowa 33,2612
us_2613,Urząd Skarbowy w Staszowie,28-200,Staszów,Oględowska 12,2613
us_2614,Urząd Skarbowy w Kazimierzy Wielkiej,28-500,Kazimierza Wielka,Tadeusza Kościuszki 16,2614
us_2615,Urząd Skarbowy we Włoszczowie,29-100,Włoszczowa,Wiśniowa 10,2615
us_2671,Świętokrzyski Urząd Skarbowy w Kielcach,25-647,Kielce,Częstochowska 20,2671
us_2801,Izba Skarbowa w Olsztynie,10-950,Olsztyn,Al. Marszałka Józefa Piłsudskiego 59A,2801
us_2802,Urząd Skarbowy w Bartoszycach,11-200 ,Bartoszyce,Bohaterów Warszawy 5,2802
us_2803,Urząd Skarbowy w Braniewie,14-500,Braniewo,Jana Matejki 6,2803
